Episode 359: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 360: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 361: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 362: Total Reward = -37, Score = 0, Epsilon = 0.010
Episode 363: Total Reward = 84, Score = 26, Epsilon = 0.010
Episode 364: Total Reward = -37, Score = 0, Epsilon = 0.010
Episode 365: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 366: Total Reward = -28, Score = 0, Epsilon = 0.010
Episode 367: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 368: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 369: Total Reward = 140, Score = 26, Epsilon = 0.010
Episode 370: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 371: Total Reward = -28, Score = 0, Epsilon = 0.010
Episode 372: Total Reward = -42, Score = 0, Epsilon = 0.010
Episode 373: Total Reward = -36, Score = 0, Epsilon = 0.010
Episode 374: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 375: Total Reward = -26, Score = 0, Epsilon = 0.010
Episode 376: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 377: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 378: Total Reward = -29, Score = 0, Epsilon = 0.010
Episode 379: Total Reward = -15, Score = 11, Epsilon = 0.010
Episode 380: Total Reward = 57, Score = 13, Epsilon = 0.010
Episode 381: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 382: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 383: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 384: Total Reward = 498, Score = 78, Epsilon = 0.010
Episode 385: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 386: Total Reward = 232, Score = 39, Epsilon = 0.010
Episode 387: Total Reward = 140, Score = 26, Epsilon = 0.010
Episode 388: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 389: Total Reward = -35, Score = 0, Epsilon = 0.010
Episode 390: Total Reward = 410, Score = 65, Epsilon = 0.010
Episode 391: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 392: Total Reward = 860, Score = 130, Epsilon = 0.010
Episode 393: Total Reward = 229, Score = 39, Epsilon = 0.010
Episode 394: Total Reward = 229, Score = 39, Epsilon = 0.010
Episode 395: Total Reward = 674, Score = 104, Epsilon = 0.010
Episode 396: Total Reward = 229, Score = 39, Epsilon = 0.010
Episode 397: Total Reward = 140, Score = 26, Epsilon = 0.010
Episode 398: Total Reward = 407, Score = 65, Epsilon = 0.010
Episode 399: Total Reward = 140, Score = 26, Epsilon = 0.010
Episode 400: Total Reward = 852, Score = 130, Epsilon = 0.010
Episode 401: Total Reward = 318, Score = 52, Epsilon = 0.010
Episode 402: Total Reward = 2632, Score = 390, Epsilon = 0.010
Episode 403: Total Reward = 240, Score = 39, Epsilon = 0.010
Episode 404: Total Reward = 1920, Score = 286, Epsilon = 0.010
Episode 405: Total Reward = 674, Score = 104, Epsilon = 0.010
Episode 406: Total Reward = 3878, Score = 572, Epsilon = 0.010
Episode 407: Total Reward = 229, Score = 39, Epsilon = 0.010
Episode 408: Total Reward = 140, Score = 26, Epsilon = 0.010
Episode 409: Total Reward = 5836, Score = 858, Epsilon = 0.010
Episode 410: Total Reward = 1475, Score = 221, Epsilon = 0.010
Episode 411: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 412: Total Reward = 1831, Score = 273, Epsilon = 0.010
Episode 413: Total Reward = 140, Score = 26, Epsilon = 0.010
Episode 414: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 415: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 416: Total Reward = 1565, Score = 234, Epsilon = 0.010
Episode 417: Total Reward = 146, Score = 26, Epsilon = 0.010
Episode 418: Total Reward = 499, Score = 78, Epsilon = 0.010
Episode 419: Total Reward = 407, Score = 65, Epsilon = 0.010
Episode 420: Total Reward = 852, Score = 130, Epsilon = 0.010
Episode 421: Total Reward = 852, Score = 130, Epsilon = 0.010
Episode 422: Total Reward = 3524, Score = 520, Epsilon = 0.010
Episode 423: Total Reward = 407, Score = 65, Epsilon = 0.010
Episode 424: Total Reward = 407, Score = 65, Epsilon = 0.010
Episode 425: Total Reward = 1486, Score = 221, Epsilon = 0.010
Episode 426: Total Reward = 1576, Score = 234, Epsilon = 0.010
Episode 427: Total Reward = 322, Score = 52, Epsilon = 0.010
Episode 428: Total Reward = 1920, Score = 286, Epsilon = 0.010
Episode 429: Total Reward = 318, Score = 52, Epsilon = 0.010
Episode 430: Total Reward = 55, Score = 13, Epsilon = 0.010
Episode 431: Total Reward = -35, Score = 0, Epsilon = 0.010
Episode 432: Total Reward = -35, Score = 0, Epsilon = 0.010
Episode 433: Total Reward = 235, Score = 39, Epsilon = 0.010
Episode 434: Total Reward = -36, Score = 0, Epsilon = 0.010
Episode 435: Total Reward = 140, Score = 26, Epsilon = 0.010
